user_id,username,nickname,department,grade
87,student0087,同学0087,信息与通信工程学院,2022级
88,student0088,同学0088,计算机科学与技术学院,2024级
89,student0089,同学0089,电子信息工程学院,2024级
90,student0090,同学0090,软件学院,2022级
91,student0091,同学0091,软件学院,2022级
92,student0092,同学0092,计算机科学与技术学院,2025级
93,student0093,同学0093,电子信息工程学院,2022级
94,student0094,同学0094,电子信息工程学院,2023级
95,student0095,同学0095,软件学院,2025级
96,student0096,同学0096,数据科学与大数据学院,2023级
97,student0097,同学0097,人工智能学院,2025级
98,student0098,同学0098,软件学院,2023级
99,student0099,同学0099,网络空间安全学院,2024级
100,student0100,同学0100,信息与通信工程学院,2024级
101,student0101,同学0101,信息与通信工程学院,2025级
102,student0102,同学0102,计算机科学与技术学院,2023级
103,student0103,同学0103,软件学院,2022级
104,student0104,同学0104,人工智能学院,2022级
105,student0105,同学0105,数据科学与大数据学院,2023级
106,student0106,同学0106,数据科学与大数据学院,2023级
107,student0107,同学0107,计算机科学与技术学院,2022级
108,student0108,同学0108,网络空间安全学院,2022级
109,student0109,同学0109,软件学院,2022级
110,student0110,同学0110,计算机科学与技术学院,2024级
111,student0111,同学0111,计算机科学与技术学院,2023级
112,student0112,同学0112,人工智能学院,2025级
113,student0113,同学0113,软件学院,2023级
114,student0114,同学0114,网络空间安全学院,2025级
115,student0115,同学0115,软件学院,2025级
116,student0116,同学0116,电子信息工程学院,2025级
117,student0117,同学0117,软件学院,2022级
118,student0118,同学0118,计算机科学与技术学院,2025级
119,student0119,同学0119,人工智能学院,2025级
120,student0120,同学0120,信息与通信工程学院,2025级
121,student0121,同学0121,电子信息工程学院,2022级
122,student0122,同学0122,网络空间安全学院,2022级
123,student0123,同学0123,计算机科学与技术学院,2025级
124,student0124,同学0124,网络空间安全学院,2024级
125,student0125,同学0125,电子信息工程学院,2022级
126,student0126,同学0126,软件学院,2023级
127,student0127,同学0127,软件学院,2025级
128,student0128,同学0128,软件学院,2025级
129,student0129,同学0129,软件学院,2024级
130,student0130,同学0130,信息与通信工程学院,2023级
131,student0131,同学0131,电子信息工程学院,2022级
132,student0132,同学0132,信息与通信工程学院,2022级
133,student0133,同学0133,计算机科学与技术学院,2022级
134,student0134,同学0134,计算机科学与技术学院,2023级
135,student0135,同学0135,软件学院,2025级
136,student0136,同学0136,信息与通信工程学院,2025级
137,student0137,同学0137,软件学院,2025级
138,student0138,同学0138,计算机科学与技术学院,2023级
139,student0139,同学0139,信息与通信工程学院,2022级
140,student0140,同学0140,信息与通信工程学院,2024级
141,student0141,同学0141,电子信息工程学院,2025级
142,student0142,同学0142,人工智能学院,2025级
143,student0143,同学0143,网络空间安全学院,2025级
144,student0144,同学0144,软件学院,2023级
145,student0145,同学0145,人工智能学院,2023级
146,student0146,同学0146,计算机科学与技术学院,2022级
147,student0147,同学0147,网络空间安全学院,2024级
148,student0148,同学0148,计算机科学与技术学院,2022级
149,student0149,同学0149,数据科学与大数据学院,2025级
150,student0150,同学0150,数据科学与大数据学院,2023级
151,student0151,同学0151,计算机科学与技术学院,2022级
152,student0152,同学0152,电子信息工程学院,2023级
153,student0153,同学0153,计算机科学与技术学院,2022级
154,student0154,同学0154,网络空间安全学院,2023级
155,student0155,同学0155,信息与通信工程学院,2022级
156,student0156,同学0156,数据科学与大数据学院,2023级
157,student0157,同学0157,数据科学与大数据学院,2022级
158,student0158,同学0158,数据科学与大数据学院,2022级
159,student0159,同学0159,信息与通信工程学院,2024级
160,student0160,同学0160,人工智能学院,2023级
161,student0161,同学0161,网络空间安全学院,2024级
162,student0162,同学0162,软件学院,2024级
163,student0163,同学0163,信息与通信工程学院,2023级
164,student0164,同学0164,网络空间安全学院,2024级
165,student0165,同学0165,信息与通信工程学院,2024级
166,student0166,同学0166,电子信息工程学院,2022级
167,student0167,同学0167,计算机科学与技术学院,2025级
168,student0168,同学0168,数据科学与大数据学院,2022级
169,student0169,同学0169,计算机科学与技术学院,2023级
170,student0170,同学0170,数据科学与大数据学院,2024级
171,student0171,同学0171,软件学院,2024级
172,student0172,同学0172,计算机科学与技术学院,2023级
173,student0173,同学0173,人工智能学院,2024级
174,student0174,同学0174,软件学院,2025级
175,student0175,同学0175,电子信息工程学院,2024级
176,student0176,同学0176,数据科学与大数据学院,2022级
177,student0177,同学0177,网络空间安全学院,2024级
178,student0178,同学0178,网络空间安全学院,2022级
179,student0179,同学0179,软件学院,2024级
180,student0180,同学0180,计算机科学与技术学院,2022级
181,student0181,同学0181,网络空间安全学院,2023级
182,student0182,同学0182,人工智能学院,2024级
183,student0183,同学0183,数据科学与大数据学院,2023级
184,student0184,同学0184,网络空间安全学院,2024级
185,student0185,同学0185,软件学院,2024级
186,student0186,同学0186,数据科学与大数据学院,2025级
187,student0187,同学0187,人工智能学院,2022级
188,student0188,同学0188,计算机科学与技术学院,2025级
189,student0189,同学0189,电子信息工程学院,2024级
190,student0190,同学0190,计算机科学与技术学院,2022级
191,student0191,同学0191,人工智能学院,2023级
192,student0192,同学0192,网络空间安全学院,2024级
193,student0193,同学0193,软件学院,2025级
194,student0194,同学0194,数据科学与大数据学院,2025级
195,student0195,同学0195,数据科学与大数据学院,2022级
196,student0196,同学0196,计算机科学与技术学院,2022级
197,student0197,同学0197,网络空间安全学院,2023级
198,student0198,同学0198,数据科学与大数据学院,2022级
199,student0199,同学0199,电子信息工程学院,2024级
200,student0200,同学0200,数据科学与大数据学院,2023级
